side,entry_bucket,signals,mean_R,median_R,win_rate
LONG,09:15-10:00,308,0.25784246699574553,0.3054065145182041,0.5746753246753247
LONG,10:01-12:00,267,0.21493899921807127,0.6866449121049385,0.602996254681648
LONG,12:01-14:00,253,0.04124315918313063,0.266854248603802,0.541501976284585
LONG,14:01+,194,0.23595587805983456,0.13176293493983038,0.5103092783505154
SHORT,09:15-10:00,248,-0.08386713458569961,-0.09812075380003345,0.45161290322580644
SHORT,10:01-12:00,218,0.07768464889124647,-0.05094806112806545,0.47706422018348627
SHORT,12:01-14:00,235,-0.020548466567606442,-0.0984095070467038,0.4723404255319149
SHORT,14:01+,177,-0.02888127906845091,-0.150329825796883,0.4576271186440678
