simulation,placebo_mean_R
0,0.14250496187416975
1,0.2407447042042799
2,0.21512183315036154
3,0.2393596142733265
4,0.22893063716970966
5,0.23376560695830076
6,0.20796529896164706
7,0.2230209711018548
8,0.1726322745299957
9,0.2365143878451935
10,0.21244662400178924
11,0.21927596888435352
12,0.26139830063823416
13,0.18865619390058755
14,0.21977164474871777
15,0.20560035308361255
16,0.24710623404201607
17,0.2780597507488899
18,0.21326567986648212
19,0.22234755671043027
20,0.23934041469028183
21,0.24576062605635546
22,0.19996686382329393
23,0.23984381180214565
24,0.1896443320928919
25,0.25489233575599846
26,0.22290793486434393
27,0.23885621716146263
28,0.2522363261904708
29,0.23249860430244723
30,0.271356214388925
31,0.24663423573714083
32,0.22834446856845525
33,0.23874318092395183
34,0.22319125985823515
35,0.18914093498102805
36,0.21334697285230209
37,0.21337871610399298
38,0.21334697285230209
39,0.19960224584358277
40,0.26159587211596336
41,0.21366169665318197
42,0.26080915001020827
43,0.2735280264256335
44,0.1937984678268838
45,0.2472314695034709
46,0.156671793008933
47,0.18090957413189795
48,0.22842576155427521
49,0.16082592874292492
50,0.20588367807750374
51,0.23518627895628993
52,0.24742904098120014
53,0.23020155680428392
54,0.20560481361395458
55,0.22301382291549984
56,0.1971978180202554
57,0.1971978180202554
58,0.18630342980039458
59,0.22567698066738248
60,0.20650516246446748
61,0.22519278313856328
62,0.2544081382271793
63,0.2146184360384977
64,0.21196188292134868
65,0.20560481361395458
66,0.23076759087054435
67,0.18914093498102805
68,0.22842576155427521
69,0.2794448406798433
70,0.25382196962592496
71,0.2143351110446065
72,0.23376560695830076
73,0.24663423573714083
74,0.23874318092395183
75,0.23482788995007015
76,0.2687002048233973
77,0.23076759087054435
78,0.22245493703559432
79,0.1763778498086416
80,0.22384002696654773
81,0.20650516246446748
82,0.24525722894449165
83,0.23947770154842637
84,0.20560481361395458
85,0.22799854506750586
86,0.23718780223661798
87,0.2138821132158569
88,0.21366169665318197
89,0.156671793008933
90,0.2552070595568783
91,0.1945730081547973
92,0.18405032477786615
93,0.24742904098120014
94,0.17997748202969416
95,0.22301382291549984
96,0.21295002111365305
97,0.26080915001020827
98,0.23159379492159224
99,0.24539451580263616
100,0.22319125985823515
101,0.20952782583533577
102,0.21650692308131497
103,0.21010479468552004
104,0.19687005565296065
105,0.18164589695453878
106,0.2472314695034709
107,0.271356214388925
108,0.2334428000191167
109,0.2635701126749426
110,0.20588367807750374
111,0.17448936276582433
112,0.19779505178658546
113,0.24931752802401744
114,0.23265607791336165
115,0.21242197671867724
116,0.21326567986648212
117,0.19996686382329393
