group,horizon,signals,mean_R,median_R,win_rate,mean_MFE_R,mean_MAE_R,p25_R,p75_R,p_value_mean_R
year=2015,12bar,382,-0.006090365855764652,-0.007217903689800577,0.4738219895287958,0.14966236439671207,-0.15583823864579208,-0.09968518129054581,0.09172752149059307,0.5883570404551155
year=2015,1bar,446,0.002805647038830066,-0.0014725824589119623,0.48878923766816146,0.04985072998962772,-0.04454430842011575,-0.04002629792984896,0.034560471877929856,0.4303927952851972
year=2015,3bar,439,0.0008468086304208839,-0.006929240765860748,0.4874715261958998,0.08767866247997506,-0.08069382738715475,-0.06512031569189575,0.05987596012121383,0.8866162328000199
year=2015,6bar,414,0.005918230651301078,-0.0013515034903887574,0.4927536231884058,0.11805715084800714,-0.11040292292293981,-0.08056511745205047,0.08110892671464316,0.4586678260048817
year=2015,EOD,443,4.0540971420581915e-05,0.005492719510836424,0.5124153498871332,0.281870574524441,-0.2979520927063862,-0.1847179383527822,0.22017327371679762,0.9984040521552351
year=2016,12bar,400,-0.01105493128497408,-0.004738419034077609,0.49,0.16541115428712488,-0.17381275504476718,-0.12880761107115654,0.12471488936473439,0.35278774209885094
year=2016,1bar,464,-0.0036894816153872877,-0.0030894080450908504,0.47413793103448276,0.05298502061265328,-0.05062635351713053,-0.04576497675917414,0.02859085785310602,0.3529048603939285
year=2016,3bar,459,0.002553753707677781,0.0023830006616567577,0.514161220043573,0.09009707660232265,-0.08961731648454975,-0.06218760265269281,0.06234118174086623,0.7057799061412087
year=2016,6bar,434,-0.004121648372946842,-0.008632602507231161,0.4792626728110599,0.1238131092314791,-0.12350067947964673,-0.08139000590148321,0.08487626450367969,0.6211116086032862
year=2016,EOD,458,-0.014676220239835341,-0.0037996408645867776,0.49563318777292575,0.29381287852475707,-0.31164354957744056,-0.2302564957585559,0.1883323148481403,0.5156609929431253
year=2017,12bar,388,-0.00984387385054911,0.0018897504750784448,0.5051546391752577,0.18026282791612255,-0.1845546126698765,-0.13523130066947756,0.11091183723989514,0.5077161714178996
year=2017,1bar,447,0.0014707601033961076,0.0,0.4966442953020134,0.06273500135326095,-0.051291084225245726,-0.03780391329519284,0.04120571057172012,0.7070374251196911
year=2017,3bar,439,0.0004889006670626339,0.010289343588793957,0.5466970387243736,0.10248908057286338,-0.09379642967127884,-0.07208120291032735,0.07472124406101799,0.949528139739004
year=2017,6bar,425,0.003373302200505916,0.00578172421057407,0.5176470588235295,0.13915799149145436,-0.12758952369295282,-0.10193074234762861,0.10748941824208331,0.7373131671652411
year=2017,EOD,440,-0.014042225712034607,-0.010572539815207515,0.475,0.3189367819954489,-0.3253328553293546,-0.26586590511459746,0.21482087554481666,0.5539611868244553
year=2018,12bar,411,0.0017215636492507681,0.013908321356119042,0.5255474452554745,0.17324769856946948,-0.16852469373942708,-0.12250574550122839,0.13946181621343345,0.8797156502365913
year=2018,1bar,490,6.0785498531601195e-05,-0.0005437147278376989,0.4959183673469388,0.053320058929346804,-0.04726255730295791,-0.03553757948849379,0.034345870015580336,0.984074240619103
year=2018,3bar,480,0.003336117587226265,0.0013963686289075812,0.5041666666666667,0.09299724281490461,-0.08578123366326669,-0.05839127210072108,0.07146292735352781,0.5673015127784979
year=2018,6bar,451,0.002934135781443162,-0.0027629440460228273,0.49223946784922396,0.1305942651538643,-0.12034267988033559,-0.07700574012068089,0.08462244225879967,0.723465691655615
year=2018,EOD,489,0.013472747644711121,0.018756698528382836,0.5357873210633947,0.33006334630461465,-0.3179763048749183,-0.23496297118986476,0.3125773185371021,0.5246952789013716
year=2019,12bar,436,-0.013080192689321743,-0.018137368643943573,0.463302752293578,0.1538647787128685,-0.16942687181535937,-0.13284710073460299,0.10222235607017952,0.26328322667915904
year=2019,1bar,510,0.0014417665098474693,-0.0017680553635656317,0.48823529411764705,0.04932751348205757,-0.0436515177613099,-0.035408586662611465,0.03856707262745479,0.6367749999726913
year=2019,3bar,502,-0.00017690948927754122,0.000859637432148949,0.5059760956175299,0.08360223372026782,-0.08025404563765849,-0.06176964732304151,0.056673110068149415,0.9726299566970785
year=2019,6bar,473,-0.0018902119267435412,-0.002282404927389821,0.49471458773784355,0.11746832802589405,-0.11742204492384571,-0.08305041776608435,0.0840679014841691,0.8200454673207386
year=2019,EOD,506,-0.032027042733845976,-0.03128824761556359,0.4762845849802372,0.30054362253250033,-0.32483846322289345,-0.2716566078140361,0.1806159010202286,0.12375687458587209
year=2020,12bar,388,-0.009006373233490423,-0.027948350409117667,0.45103092783505155,0.1646729106539267,-0.1850151875236116,-0.1403603067553346,0.11038775309311613,0.5259078706538399
year=2020,1bar,446,-0.00046897679128683685,-0.005351682498382214,0.45964125560538116,0.055025969889042035,-0.050071181309002885,-0.03622792905504634,0.033994469092602383,0.8959739187294102
year=2020,3bar,437,-0.004456070300494943,-0.009988617612794482,0.4622425629290618,0.09341325024232529,-0.09195562959829107,-0.07247300631775339,0.06287513418604598,0.46449961634960224
year=2020,6bar,419,-0.01905455823907251,-0.03362063904395015,0.4295942720763723,0.1176972758521676,-0.13609048504800506,-0.11143955694036312,0.0722372819788133,0.027200140702015214
year=2020,EOD,443,0.00998736524647882,-0.017370884200940483,0.4582392776523702,0.307424130264642,-0.3349443095912988,-0.18593627188180412,0.1948289262181923,0.7112619217867798
year=2021,12bar,419,0.018895141324680398,0.026282147925019973,0.5751789976133651,0.17820793530382392,-0.16318928563931048,-0.10073098149866212,0.14505827736762322,0.08736967774213862
year=2021,1bar,463,0.005916477467485221,0.00379383127802028,0.5291576673866091,0.05653416982159519,-0.044371659141080634,-0.03723432429480047,0.04415344755183663,0.08919517860163148
year=2021,3bar,459,-0.002867682473459793,0.00033191638082088446,0.5010893246187363,0.09317436234865871,-0.08803633355790386,-0.07083516021212424,0.07243655908112641,0.6431977154240573
