group,horizon,signals,mean_R,median_R,win_rate,mean_MFE_R,mean_MAE_R,p25_R,p75_R,p_value_mean_R
year=2021,6bar,446,-0.003002303578248792,0.0027778159574897896,0.5044843049327354,0.12370423817024218,-0.12367870633674093,-0.08706771500193655,0.09961493028121428,0.704611026938399
year=2021,EOD,462,0.0285481593744168,0.04461352381637719,0.5670995670995671,0.33913148476331406,-0.3062371810650983,-0.2099402859980751,0.30991611259340257,0.1695400910179946
year=2022,12bar,376,-0.0017767280584612506,0.008635774282465189,0.5186170212765957,0.15213094214088285,-0.1598940699952124,-0.11791878530889158,0.13254265119440345,0.8740459784166735
year=2022,1bar,435,-0.003176987649402275,-0.004554954053390303,0.45977011494252873,0.04644587059943949,-0.04844924296999303,-0.03927663357964599,0.032786024758533996,0.3375290006700352
year=2022,3bar,424,-0.003041064709754162,-0.002661946320411805,0.4882075471698113,0.08091076074126817,-0.08685873730645491,-0.0707553216395147,0.06594973852413742,0.6028162152903624
year=2022,6bar,394,-0.0012134602306685155,0.009195188878369193,0.5279187817258884,0.11213307644098548,-0.11611947439669812,-0.08083148257006141,0.09023414501657726,0.8835684818004774
year=2022,EOD,431,-0.05425425245355526,-0.00968614758670588,0.4802784222737819,0.27143262282784225,-0.33052646576024064,-0.27782795091977047,0.15291055006195273,0.017373210207243188
year=2023,12bar,385,0.005151950871976421,0.02180099287966469,0.548051948051948,0.16417824766061195,-0.15970002803918193,-0.10891835739276329,0.12903220498017245,0.6377497846583875
year=2023,1bar,455,0.002422159753812371,0.0031668773155422614,0.5208791208791209,0.052622718752239186,-0.0469145449964011,-0.03702590865240285,0.04213736003081002,0.47275416748298893
year=2023,3bar,446,0.0015520410474902239,0.008937439437907261,0.5358744394618834,0.08627757187851637,-0.08289169907468931,-0.06315207196063895,0.06869092454752015,0.7751926260403231
year=2023,6bar,419,-0.0006516533052439771,0.007159018695495504,0.5274463007159904,0.11737418665281407,-0.11913201055022908,-0.08947567578912856,0.09041559435986468,0.9295637695177548
year=2023,EOD,453,-0.0019614791004865834,0.039657846691861925,0.5607064017660044,0.29340214784407803,-0.29032653013487403,-0.19722010530657078,0.1962289129789547,0.920283858791494
year=2024,12bar,106,-0.05217094581130568,-0.043632503896936965,0.44339622641509435,0.16092562903842716,-0.2292069504153387,-0.16731663104950067,0.13733035647322286,0.05726930834814858
year=2024,1bar,125,-0.006590159838462824,-0.006661911886395485,0.464,0.05830443625192877,-0.06194439322732444,-0.049645792824278834,0.034945019853517376,0.41417478902760096
year=2024,3bar,123,-0.03103239258945802,-0.02662496259465288,0.3983739837398374,0.08529073417241902,-0.11144841903105851,-0.09603006828334822,0.04411099542719506,0.012152081781959848
year=2024,6bar,114,-0.03086708541151454,-0.041665447113144,0.38596491228070173,0.12083558254320627,-0.15835224004338358,-0.12513780599738372,0.08138913920078433,0.07978141529916019
year=2024,EOD,125,-0.1455821582886303,-0.05276482054548667,0.368,0.26540673863328834,-0.42025433212890567,-0.28788780091016614,0.08708520820639866,0.012304148725073275
