asset,horizon,side,split,leaf,rule,signals,mean_R,win_rate,sensitivity,specificity,youden_J
intraday,6bar,LONG,TRAIN,3,prior_day_return_atr <= 0.365 AND minute_from_open <= 252.5 AND intraday_range_atr <= 0.3235,145,0.0321745254642608,0.5862068965517241,0.185589519650655,0.8660714285714286,0.05166094822208356
intraday,6bar,LONG,TRAIN,4,prior_day_return_atr <= 0.365 AND minute_from_open <= 252.5 AND intraday_range_atr > 0.3235,286,0.004005061184965423,0.4755244755244755,0.29694323144104806,0.6651785714285714,-0.03787819713038054
intraday,6bar,LONG,TRAIN,5,prior_day_return_atr <= 0.365 AND minute_from_open > 252.5,124,0.013427612850330372,0.6612903225806451,0.17903930131004367,0.90625,0.08528930131004375
intraday,6bar,LONG,VALIDATION,3,prior_day_return_atr <= 0.365 AND minute_from_open <= 252.5 AND intraday_range_atr <= 0.3235,144,-0.0019700185708262843,0.4861111111111111,0.1881720430107527,0.8010752688172043,-0.010752688172043001
intraday,6bar,LONG,VALIDATION,4,prior_day_return_atr <= 0.365 AND minute_from_open <= 252.5 AND intraday_range_atr > 0.3235,187,-0.008592292234646217,0.5133689839572193,0.25806451612903225,0.7553763440860215,0.013440860215053752
intraday,6bar,LONG,VALIDATION,5,prior_day_return_atr <= 0.365 AND minute_from_open > 252.5,92,-0.013927862949430386,0.5217391304347826,0.12903225806451613,0.8817204301075269,0.010752688172043001
intraday,6bar,LONG,TEST,3,prior_day_return_atr <= 0.365 AND minute_from_open <= 252.5 AND intraday_range_atr <= 0.3235,93,0.0020960168700112063,0.5268817204301075,0.19367588932806323,0.808695652173913,0.002371541501976271
intraday,6bar,LONG,TEST,4,prior_day_return_atr <= 0.365 AND minute_from_open <= 252.5 AND intraday_range_atr > 0.3235,127,0.0022766533299154674,0.5275590551181102,0.2648221343873518,0.7391304347826086,0.0039525691699604515
intraday,6bar,LONG,TEST,5,prior_day_return_atr <= 0.365 AND minute_from_open > 252.5,52,-0.013338670677257884,0.5576923076923077,0.11462450592885376,0.9,0.014624505928853893
intraday,6bar,SHORT,TRAIN,3,intraday_move_atr <= 0.005843 AND minute_from_open <= 102.5 AND minute_from_open <= 42.5,177,0.01604710657046062,0.5141242937853108,0.2297979797979798,0.7962085308056872,0.0260065106036671
intraday,6bar,SHORT,TRAIN,6,intraday_move_atr <= 0.005843 AND minute_from_open > 102.5 AND intraday_move_atr <= -0.2382,332,0.0166294644083405,0.5090361445783133,0.42676767676767674,0.6137440758293838,0.040511752597060635
intraday,6bar,SHORT,TRAIN,7,intraday_move_atr <= 0.005843 AND minute_from_open > 102.5 AND intraday_move_atr > -0.2382,107,0.044272985459569286,0.6542056074766355,0.17676767676767677,0.9123222748815166,0.08908995164919342
intraday,6bar,SHORT,VALIDATION,3,intraday_move_atr <= 0.005843 AND minute_from_open <= 102.5 AND minute_from_open <= 42.5,137,-0.0197016087115935,0.48175182481751827,0.24719101123595505,0.7828746177370031,0.03006562897295817
intraday,6bar,SHORT,VALIDATION,6,intraday_move_atr <= 0.005843 AND minute_from_open > 102.5 AND intraday_move_atr <= -0.2382,230,0.028077586085051922,0.49130434782608695,0.4232209737827715,0.6422018348623854,0.06542280864515693
intraday,6bar,SHORT,VALIDATION,7,intraday_move_atr <= 0.005843 AND minute_from_open > 102.5 AND intraday_move_atr > -0.2382,64,-0.007348162560068584,0.421875,0.10112359550561797,0.8868501529051988,-0.012026251589183246
intraday,6bar,SHORT,TEST,3,intraday_move_atr <= 0.005843 AND minute_from_open <= 102.5 AND minute_from_open <= 42.5,105,-0.010813953420087405,0.5142857142857142,0.24545454545454545,0.7723214285714286,0.017775974025973973
intraday,6bar,SHORT,TEST,6,intraday_move_atr <= 0.005843 AND minute_from_open > 102.5 AND intraday_move_atr <= -0.2382,158,-0.017348203504309424,0.43670886075949367,0.31363636363636366,0.6026785714285714,-0.08368506493506489
