asset,horizon,side,split,leaf,rule,signals,mean_R,win_rate,sensitivity,specificity,youden_J
intraday,1bar,SHORT,TEST,10,minute_from_open > 252.5 AND cpr_width_atr > 0.1048,90,-0.0013868062821413285,0.4777777777777778,0.1853448275862069,0.8156862745098039,0.0010311020960107609
intraday,3bar,LONG,TRAIN,3,intraday_move_atr <= 0.1698 AND minute_from_open <= 132.5 AND intraday_move_atr <= -0.08465,127,-0.03177059780364127,0.3464566929133858,0.08782435129740519,0.8167770419426048,-0.09539860675999001
intraday,3bar,LONG,TRAIN,4,intraday_move_atr <= 0.1698 AND minute_from_open <= 132.5 AND intraday_move_atr > -0.08465,168,-0.006088909352167297,0.5059523809523809,0.16966067864271456,0.8167770419426048,-0.013562279414680578
intraday,3bar,LONG,TRAIN,6,intraday_move_atr <= 0.1698 AND minute_from_open > 132.5 AND gap_atr <= 0.2846,124,-0.01564261919227169,0.4435483870967742,0.10978043912175649,0.847682119205298,-0.042537441672945486
intraday,3bar,LONG,TRAIN,7,intraday_move_atr <= 0.1698 AND minute_from_open > 132.5 AND gap_atr > 0.2846,153,0.009791787173255363,0.6013071895424836,0.18363273453093812,0.8653421633554084,0.04897489788634646
intraday,3bar,LONG,TRAIN,9,intraday_move_atr > 0.1698 AND close_vs_pdl_atr <= 0.8619,190,0.005569279167225666,0.5210526315789473,0.19760479041916168,0.7991169977924945,-0.0032782117883438655
intraday,3bar,LONG,TRAIN,10,intraday_move_atr > 0.1698 AND close_vs_pdl_atr > 0.8619,192,0.029105628787648302,0.65625,0.25149700598802394,0.8543046357615894,0.10580164174961348
intraday,3bar,LONG,VALIDATION,3,intraday_move_atr <= 0.1698 AND minute_from_open <= 132.5 AND intraday_move_atr <= -0.08465,68,-0.04708762216882048,0.3235294117647059,0.056555269922879174,0.882051282051282,-0.06139344802583879
intraday,3bar,LONG,VALIDATION,4,intraday_move_atr <= 0.1698 AND minute_from_open <= 132.5 AND intraday_move_atr > -0.08465,213,0.0038265179655128352,0.5352112676056338,0.2930591259640103,0.7461538461538462,0.03921297211785646
intraday,3bar,LONG,VALIDATION,6,intraday_move_atr <= 0.1698 AND minute_from_open > 132.5 AND gap_atr <= 0.2846,154,-0.012604716623823939,0.487012987012987,0.1928020565552699,0.7974358974358975,-0.00976204600883257
intraday,3bar,LONG,VALIDATION,7,intraday_move_atr <= 0.1698 AND minute_from_open > 132.5 AND gap_atr > 0.2846,107,-0.006924497435240304,0.42990654205607476,0.11825192802056556,0.8435897435897436,-0.03815832838969091
intraday,3bar,LONG,VALIDATION,9,intraday_move_atr > 0.1698 AND close_vs_pdl_atr <= 0.8619,129,0.004656243407467483,0.5891472868217055,0.1953727506426735,0.8641025641025641,0.059475314745237595
intraday,3bar,LONG,VALIDATION,10,intraday_move_atr > 0.1698 AND close_vs_pdl_atr > 0.8619,108,0.014285612715768302,0.5185185185185185,0.14395886889460155,0.8666666666666667,0.010625535561268329
intraday,3bar,LONG,TEST,3,intraday_move_atr <= 0.1698 AND minute_from_open <= 132.5 AND intraday_move_atr <= -0.08465,83,-0.019728488749722252,0.42168674698795183,0.13409961685823754,0.8095238095238095,-0.056376573617952896
intraday,3bar,LONG,TEST,4,intraday_move_atr <= 0.1698 AND minute_from_open <= 132.5 AND intraday_move_atr > -0.08465,130,-0.015568940429512956,0.49230769230769234,0.24521072796934865,0.7380952380952381,-0.016694033935413244
intraday,3bar,LONG,TEST,6,intraday_move_atr <= 0.1698 AND minute_from_open > 132.5 AND gap_atr <= 0.2846,62,-0.010681081357465056,0.45161290322580644,0.10727969348659004,0.8650793650793651,-0.02764094143404483
intraday,3bar,LONG,TEST,7,intraday_move_atr <= 0.1698 AND minute_from_open > 132.5 AND gap_atr > 0.2846,73,0.004613144740857756,0.5342465753424658,0.14942528735632185,0.8650793650793651,0.014504652435686882
intraday,3bar,LONG,TEST,9,intraday_move_atr > 0.1698 AND close_vs_pdl_atr <= 0.8619,92,0.010823815663801271,0.5869565217391305,0.20689655172413793,0.8492063492063492,0.0561029009304872
intraday,3bar,LONG,TEST,10,intraday_move_atr > 0.1698 AND close_vs_pdl_atr > 0.8619,73,0.017853084378125557,0.5616438356164384,0.15708812260536398,0.873015873015873,0.030103995621237
intraday,3bar,SHORT,TRAIN,2,atr_pct <= 0.009073 AND intraday_range_atr <= 0.5782,100,0.04155610955615264,0.67,0.1554524361948956,0.9236111111111112,0.07906354730600684
intraday,3bar,SHORT,TRAIN,3,atr_pct <= 0.009073 AND intraday_range_atr > 0.5782,169,-0.006769942767688006,0.5207100591715976,0.20417633410672853,0.8125,0.01667633410672842
intraday,3bar,SHORT,TRAIN,5,atr_pct > 0.009073 AND atr_pct <= 0.01078,146,-0.021043711190368786,0.3835616438356164,0.12993039443155452,0.7916666666666666,-0.07840293890177885
intraday,3bar,SHORT,TRAIN,7,atr_pct > 0.009073 AND atr_pct > 0.01078 AND atr_pct <= 0.01218,110,0.010979280494449321,0.5909090909090909,0.15081206496519722,0.8958333333333334,0.04664539829853065
intraday,3bar,SHORT,TRAIN,8,atr_pct > 0.009073 AND atr_pct > 0.01078 AND atr_pct > 0.01218,338,0.00315371713720477,0.45857988165680474,0.35962877030162416,0.5763888888888888,-0.06398234080948706
intraday,3bar,SHORT,VALIDATION,2,atr_pct <= 0.009073 AND intraday_range_atr <= 0.5782,18,-0.020369685457766986,0.3888888888888889,0.02356902356902357,0.9658385093167702,-0.01059246711420625
intraday,3bar,SHORT,VALIDATION,3,atr_pct <= 0.009073 AND intraday_range_atr > 0.5782,20,-0.04953701850382174,0.35,0.02356902356902357,0.9596273291925466,-0.016803647238429864
intraday,3bar,SHORT,VALIDATION,5,atr_pct > 0.009073 AND atr_pct <= 0.01078,150,0.009012638254666992,0.5333333333333333,0.26936026936026936,0.782608695652174,0.0519689650124433
intraday,3bar,SHORT,VALIDATION,7,atr_pct > 0.009073 AND atr_pct > 0.01078 AND atr_pct <= 0.01218,117,0.011469286406438156,0.5213675213675214,0.2053872053872054,0.8260869565217391,0.031474161908944476
intraday,3bar,SHORT,VALIDATION,8,atr_pct > 0.009073 AND atr_pct > 0.01078 AND atr_pct > 0.01218,314,-0.0056156977264008225,0.45222929936305734,0.4781144781144781,0.4658385093167702,-0.056047012568751775
intraday,3bar,SHORT,TEST,2,atr_pct <= 0.009073 AND intraday_range_atr <= 0.5782,51,0.016212862642449356,0.6078431372549019,0.13247863247863248,0.9186991869918699,0.05117781947050237
intraday,3bar,SHORT,TEST,3,atr_pct <= 0.009073 AND intraday_range_atr > 0.5782,91,-0.0066283201382964126,0.43956043956043955,0.17094017094017094,0.7926829268292683,-0.03637690223056067
